text,id
"Небо над городом стало темно-синим... предвещая скорую грозу!",1
"Он смотрел на фотографию - воспоминания нахлынули волной.",2
"Дорога петляла среди деревьев... увлекая путника дальше.",3
"Она услышала смех детей - и сердце ее наполнилось теплом.",4
"Дом стоял тихий и старый... храня тайны прошлого.",5
"Голос певца звучал чисто и ясно... заполняя пространство музыкой.",6
"Автомобиль остановился перед воротами... ожидая разрешения въезда.",7
"Она встряхнула волосы: пора было начинать новый день!",8
"Мужчина закрыл глаза... погружаясь в сон.",10
"Деревья тянулись вверх... стремясь к солнцу.",11
"Они сидели молча... слушая шум прибоя.",12
"Женщина подняла взгляд: «Посмотри туда!»",13
"Холодный ветер дул с севера... заставляя дрожать прохожих.",14
"Он поднял стакан: «За успех нашего проекта!»",15
"Цветы распустились утром... радуя глаз своей красотой.",16
"Ребенок спрятался за спину матери... испугавшись незнакомого человека.",17
"Комната погрузилась в полутьму... настала ночь.",18
"Люди спешили домой... стараясь успеть до наступления темноты.",19
"Звуки музыки доносились издалека... маня к себе.",20
"Катер скользил по воде... оставляя позади пенистые волны.",21
"Девушка улыбнулась: «Это мой любимый фильм!»",22
"Фотография показалась ей знакомой... откуда она знала её?",23
"Самолет взлетел в небо... растворяясь в облаках.",24
"Он поправил очки: «Теперь видно гораздо лучше»",25
"Автобус подъехал к остановке... открывая двери.",26
"Компьютер пищал... сигнализируя о неисправности.",27
"Гром прогремел вдали... эхом разносясь по окрестностям.",28
"Телефон лежал рядом... никто не звонил.",29
"Разговор прервался сам собой... повиснув в воздухе.",30
"Коровы лениво щипали траву... наслаждаясь теплым днем.",31
"Лист бумаги был чистым... ожидалось вдохновение.",32
"Металл блестел на солнце... отражая солнечные лучи.",33
"Человек торопливо пересек улицу... боясь опоздать.",34
"Сердце билось часто... волнение охватывало его.",35
"Окно было открыто... впуская свежий ночной воздух.",36
"Почта пришла вовремя... письма ждали своего часа.",37
"Куртка висела на вешалке... дожидаясь владельца.",38
"Газета валялась на столе... забытая всеми.",39
"Его пальцы бегали по клавишам... играя любимую мелодию.",40
"Мужчины стояли рядом... разговаривая о делах.",41
"Облако проплывало мимо... принимая причудливую форму.",43
"Рассказчик замолчал... оставив слушателей в недоумении.",44
"Чашка стояла на краю стола... угрожающе балансируя.",45
"Скрип половиц нарушил тишину... кто-то прошел по коридору.",46
"Звук шагов затих вдалеке... больше ничего не слышно.",47
"Воздух был свежим и прохладным... идеально для прогулки.",48
"Она подошла ближе... рассматривая картину.",49
"Голоса студентов раздавались в аудитории... оживленно обсуждая лекцию.",50
"Закат окрасил море золотистым цветом... создавая волшебную картину.",51
"Рыбак забрасывал удочку... надеясь поймать крупную рыбу.",52
"Камень упал в воду... вызвав рябь на поверхности.",53
"Город засыпал... улицы становились пустынными.",54
"Женщины болтали... сидя на лавочке возле дома.",55
"Ночь опустилась на землю... звезды загорались одна за другой.",56
"Игрушка лежала забытая... покрытая слоем пыли.",57
"Маршрут пролегал через горы... обещая захватывающее приключение.",58
"Отель выглядел уютно... приглашая гостей отдохнуть.",59
"Молодые люди танцевали... отпраздновав успешную сдачу экзаменов.",60
"Магазин сиял огнями... привлекая покупателей витриной.",61
"Медведь вышел из леса... ища пищу.",62
"Граффити украшало стену... вызывая восхищение прохожих.",63
"Арбузы продавались вдоль дороги... маня своим сочным видом.",64
"Щенок играл с мячом... весело прыгая вокруг.",65
"Забор качался на ветру... готовясь рухнуть.",66
"Лодка качалась на волнах... угрожая перевернуться.",67
"Знак «Проход запрещён» красовался на заборе... предостерегая любопытных.",68
"Семьи гуляли в парке... наслаждаясь выходной.",69
"Автострада была заполнена машинами... движение шло полным ходом.",70
"Он читал газету... попивая горячий чай.",71
"Надпись на стене говорила сама за себя: «Здесь жили хорошие люди»",72
"Машина стояла на стоянке... собираясь отправиться в путь.",74
"Река несла свои воды спокойно... сохраняя вековую мудрость.",75
"Охотники собрались вместе... предвкушая удачную охоту.",76
"Дети бежали навстречу родителям... счастливые видеть их снова.",77
"Красный флажок развевался на ветру... обозначая границу участка.",78
"Фильм завершился... зрители покидали кинотеатр.",79
"Студенты писали контрольную работу... сосредоточенно смотря в лист бумаги.",80
"Учитель подошел к ученику... помогая разобраться с задачей.",81
"Животные прятались в кустах... опасаясь шума машин.",82
"Семья собралась за столом... празднуя важное событие.",83
"Колокольчики звонили... возвещая приход праздника.",84
"Замок открылся легко... уступив нажатию ключа.",85
"Рабочие трудились усердно... строя новый дом.",86
"Дорога вела в лес... маня неизвестностью.",87
"Родители наблюдали за детьми... играющими на детской площадке.",88
"Художник наносил последний штрих... завершив портрет.",89
"Курьер доставил посылку... подписываясь в получении.",90
"Бармен протирал стаканы... готовясь к вечернему наплыву клиентов.",91
"Женщины беседовали... сидя на скамейке в сквере.",92
"Мужчина ждал автобус... нетерпеливо поглядывая на часы.",93
"Монитор компьютера мигал... экран готовился показать важную информацию.",94
"Железнодорожный вокзал кипел жизнью... поезда приходили и уходили.",95
"Школа стояла закрытой... каникулы начались.",96
"Маленький мальчик катался на велосипеде... впервые ощущая свободу движения.",97
"Бабочка порхала около цветка... собирая нектар.",98
"Девушки смеялись... вспоминая забавные истории.",99
"Прибор пищал... проверяя исправность оборудования.",100
